HE-Offenbach,50.0956,8.7761
HE-Hanau,50.1314,8.9197
HE-Bad-Vilbel,50.1828,8.7375
HE-Friedberg,50.3358,8.7544
HE-Bad-Homburg,50.2272,8.6181
HE-Hofheim,50.0867,8.4475
HE-Eltville,50.0306,8.1156
HE-Idstein,50.2169,8.2664
HE-Limburg,50.3858,8.0589
HE-Wetzlar,50.5658,8.5006
HE-Giessen,50.5867,8.6786
HE-Dillenburg,50.7414,8.2867
HE-Biedenkopf,50.9133,8.5292
HE-Bad-Hersfeld,50.8694,9.7064
HE-Eschwege,51.1856,10.0586
HE-Witzenhausen,51.3422,9.8569
HE-Hofgeismar,51.4961,9.3833
HE-Korbach,51.2767,8.8722
HE-Schwalmstadt,50.9333,9.2167
HE-Bad-Wildungen,51.1219,9.1108
HE-Fulda,50.5558,9.6808
HE-Gelnhausen,50.2008,9.1842
HE-Lampertheim,49.5972,8.4708
HE-Bensheim,49.6797,8.6231
HE-Ruesselsheim,49.9897,8.4150
HE-Erbach,49.6594,8.9942
RP-Worms,49.6306,8.3533
RP-Speyer,49.3239,8.4319
RP-Frankenthal,49.5347,8.3539
RP-Neustadt-Wstr,49.3500,8.1500
RP-Landau,49.1989,8.1167
RP-Pirmasens,49.2000,7.6000
RP-Zweibruecken,49.2486,7.3672
RP-Kusel,49.5417,7.4006
RP-Kaiserslautern,49.4400,7.7491
RP-Bad-Duerkheim,49.4583,8.1683
RP-Germersheim,49.2247,8.3658
RP-Annweiler,49.2008,7.9711
RP-Bad-Kreuznach,49.8442,7.8669
RP-Alzey,49.7475,8.1144
RP-Ingelheim,49.9747,8.0578
RP-Bingen,49.9667,7.9000
RP-Idar-Oberstein,49.7000,7.3163
RP-Birkenfeld,49.6533,7.1683
RP-Simmern,49.9853,7.5258
RP-Cochem,50.1456,7.1706
RP-Wittlich,49.9858,6.8919
RP-Bernkastel-Kues,49.9156,7.0747
RP-Bitburg,49.9667,6.5333
RP-Daun,50.1956,6.8328
RP-Mayen,50.3289,7.2253
RP-Andernach,50.4392,7.4011
RP-Neuwied,50.4286,7.4628
RP-Montabaur,50.4361,7.8222
RP-Diez,50.3711,8.0078
SL-Saarlouis,49.3133,6.7522
SL-Voelklingen,49.2522,6.8569
SL-Merzig,49.4444,6.6361
SL-Neunkirchen,49.3486,7.1797
SL-Homburg,49.3253,7.3367
SL-St-Wendel,49.4658,7.1697
BW-Baden-Baden,48.7611,8.2406
BW-Rastatt,48.8589,8.2092
BW-Bruchsal,49.1239,8.5972
BW-Heidelberg,49.3988,8.6724
BW-Wiesloch,49.2944,8.7019
BW-Mosbach,49.3531,9.1444
BW-Bad-Rappenau,49.2369,9.1042
BW-Bietigheim,48.9619,9.1250
BW-Ludwigsburg,48.8975,9.1925
BW-Waiblingen,48.8306,9.3175
BW-Esslingen,48.7406,9.3047
BW-Boeblingen,48.6856,9.0125
BW-Sindelfingen,48.7100,9.0028
BW-Leonberg,48.7986,9.0119
BW-Calw,48.7144,8.7392
BW-Herrenberg,48.5953,8.8694
BW-Tuebingen,48.5216,9.0576
BW-Reutlingen,48.4914,9.2043
BW-Nuertingen,48.6258,9.3433
BW-Goeppingen,48.7042,9.6531
BW-Schwaebisch-Gmuend,48.7989,9.7972
BW-Aalen,48.8378,10.0939
BW-Heidenheim,48.6772,10.1539
BW-Schwaebisch-Hall,49.1117,9.7372
BW-Crailsheim,49.1364,10.0719
BW-Ehingen,48.2839,9.7264
BW-Sigmaringen,48.0883,9.2192
BW-Tuttlingen,47.9856,8.8194
BW-Rottweil,48.1683,8.6258
BW-Villingen,48.0608,8.4581
BW-Schwenningen,48.0581,8.5375
BW-Donaueschingen,47.9528,8.4983
BW-Loerrach,47.6147,7.6614
BW-Waldshut,47.6228,8.2153
BW-Emmendingen,48.1228,7.8531
BW-Lahr,48.3408,7.8689
BW-Offenburg,48.4736,7.9444
BW-Kehl,48.5697,7.8147
BW-Ravensburg,47.7811,9.6131
BW-Weingarten,47.8089,9.6364
BW-Friedrichshafen,47.6500,9.4833
BW-Lindau,47.5586,9.6839
BW-Bad-Saeckingen,47.5536,7.9492
BW-Schopfheim,47.6500,7.8167
BW-Pforzheim,48.8950,8.6953
BW-Mannheim,49.4875,8.4660
BW-Heilbronn,49.1427,9.2109
BW-Weinheim,49.5497,8.6664
BY-Aschaffenburg,49.9750,9.1500
BY-Schweinfurt,50.0500,10.2333
BY-Wuerzburg,49.7913,9.9534
BY-Kitzingen,49.7397,10.1719
BY-Bad-Neustadt,50.3225,10.2169
BY-Coburg,50.2622,10.9647
BY-Lichtenfels,50.1450,11.0594
BY-Kronach,50.2417,11.3289
BY-Kulmbach,50.1011,11.4425
BY-Bayreuth,49.9456,11.5713
BY-Hof,50.3145,11.9128
BY-Wunsiedel,50.0392,12.0000
BY-Marktredwitz,50.0028,12.0856
BY-Bamberg,49.8989,10.9028
BY-Forchheim,49.7178,11.0606
BY-Erlangen,49.5897,11.0078
BY-Nuernberg,49.4521,11.0767
BY-Fuerth,49.4775,10.9881
BY-Schwabach,49.3308,11.0203
BY-Roth,49.2475,11.0911
BY-Ansbach,49.3000,10.5833
BY-Neumarkt,49.2789,11.4592
BY-Amberg,49.4397,11.8625
BY-Schwandorf,49.3267,12.1100
BY-Weiden,49.6783,12.1561
BY-Cham,49.2233,12.6628
BY-Regensburg,49.0134,12.1015
BY-Kelheim,48.9156,11.8761
BY-Straubing,48.8806,12.5736
BY-Deggendorf,48.8400,12.9608
BY-Passau,48.5667,13.4319
BY-Vilshofen,48.6258,13.1922
BY-Landshut,48.5367,12.1525
BY-Erding,48.3061,11.9067
BY-Freising,48.4031,11.7497
BY-Pfaffenhofen,48.5306,11.5000
BY-Ingolstadt,48.7665,11.4257
BY-Eichstaett,48.8917,11.1828
BY-Neuburg-Donau,48.7361,11.1853
BY-Donauwoerth,48.7186,10.7783
BY-Noerdlingen,48.8514,10.4889
BY-Dillingen,48.5811,10.4953
BY-Guenzburg,48.4528,10.2728
BY-Augsburg,48.3705,10.8978
BY-Friedberg,48.3567,10.9856
BY-Aichach,48.4575,11.1389
BY-Dachau,48.2603,11.4341
BY-Fuerstenfeldbruck,48.1785,11.2570
BY-Starnberg,48.0033,11.3450
BY-Weilheim,47.8419,11.1423
BY-Garmisch,47.4914,11.0954
BY-Bad-Toelz,47.7611,11.5572
BY-Holzkirchen,47.8861,11.7042
BY-Miesbach,47.7897,11.8369
BY-Tegernsee,47.7117,11.7600
BY-Rosenheim,47.8533,12.1289
BY-Wasserburg,48.0606,12.2336
BY-Muehldorf,48.2456,12.5236
BY-Burghausen,48.1683,12.8344
BY-Altoetting,48.2253,12.6789
BY-Traunstein,47.8747,12.6447
BY-Berchtesgaden,47.6306,13.0036
BY-Bad-Reichenhall,47.7242,12.8783
BY-Kaufbeuren,47.8800,10.6233
BY-Marktoberdorf,47.7794,10.6189
BY-Kempten,47.7263,10.3142
BY-Sonthofen,47.5117,10.2789
BY-Memmingen,47.9883,10.1808
BY-Mindelheim,48.0461,10.4842
BY-Landsberg,48.0489,10.8767
BB-Frankfurt-Oder,52.3470,14.5503
BB-Brandenburg-Stadt,52.4083,12.5500
BB-Eberswalde,52.8333,13.8167
BB-Bernau,52.6736,13.5867
BB-Oranienburg,52.7547,13.2433
BB-Neuruppin,52.9233,12.8133
BB-Perleberg,53.0717,11.8550
BB-Wittstock,53.1611,12.4831
BB-Rathenow,52.6056,12.3367
BB-Bad-Belzig,52.1428,12.5933
BB-Werder,52.3819,12.9311
BB-Falkensee,52.5664,13.0900
BB-Strausberg,52.5772,13.8867
BB-Seelow,52.5283,14.3811
BB-Beeskow,52.1733,14.2456
BB-Fuerstenwalde,52.3617,14.0667
BB-Koenigs-Wstrhsn,52.3014,13.6322
BB-Luebben,51.9433,13.8917
BB-Luckenwalde,52.0925,13.1572
BB-Juetebog,51.9897,13.0764
BB-Herzberg,51.6917,13.2356
BB-Senftenberg,51.5275,14.0033
BB-Forst-Lausitz,51.7367,14.6378
BB-Spremberg,51.5722,14.3722
BB-Schwedt,53.0608,14.2792
BB-Prenzlau,53.3164,13.8606
MV-Schwerin,53.6355,11.4012
MV-Wismar,53.8919,11.4658
MV-Guestrow,53.7964,12.1739
MV-Bad-Doberan,54.1058,11.9056
MV-Ribnitz-Damgarten,54.2461,12.4544
MV-Stralsund,54.3094,13.0817
MV-Bergen-Ruegen,54.4156,13.4322
MV-Sassnitz,54.5147,13.6433
MV-Greifswald,54.0833,13.3833
MV-Wolgast,54.0497,13.7700
MV-Anklam,53.8514,13.6878
MV-Pasewalk,53.5083,13.9886
MV-Ueckermuende,53.7411,14.0511
MV-Neubrandenburg,53.5575,13.2611
MV-Demmin,53.9036,13.0469
MV-Waren-Mueritz,53.5208,12.6756
